Title;Link;Price;City
Renault Express 2022  Zen 1.6 МТ (110 к.с.);https://auto.ria.com/uk/newauto/auto-renault-express-1885951.html;;Київ
Renault Express Combi 2022  Zen 1.6 МТ (110 к.с.);https://auto.ria.com/uk/newauto/auto-renault-express-combi-1867186.html;;Кропивницький (Кіровоград)
Citroen C-Elysee 2021  Feel 1.6 MТ (115 к.с.);https://auto.ria.com/uk/newauto/auto-citroen-c-elysee-1885800.html;;Київ
JAC J7 2021  Comfort 1.5T MT (150 к.с.);https://auto.ria.com/uk/newauto/auto-jac-j7-1886260.html;;Черкаси
JAC J7 2021  Comfort 1.5T MT (150 к.с.);https://auto.ria.com/uk/newauto/auto-jac-j7-1884223.html;;Черкаси
Fiat Doblo груз. 2021   New Maxi 1.4 МТ (95 к.с.);https://auto.ria.com/uk/newauto/auto-fiat-doblo-gruz-1871480.html;;Харків
JAC J7 2021  Comfort 1.5T MT (150 к.с.);https://auto.ria.com/uk/newauto/auto-jac-j7-1884187.html;;Черкаси
Ford Transit Courier 2021  Ambiente Plus 1.0 Ecoboost MT (100 к.с.);https://auto.ria.com/uk/newauto/auto-ford-transit-courier-1868124.html;;Одеса
JAC S4 2021  Luxury Black Roof 1.5i MT (147 к.с.);https://auto.ria.com/uk/newauto/auto-jac-s4-1884234.html;;Черкаси
Renault Express Combi 2021  Zen 1.6 МТ (110 к.с.);https://auto.ria.com/uk/newauto/auto-renault-express-combi-1882376.html;;Черкаси
Fiat 500 2021  Dolcevita 1.2 AT (69 к.с.);https://auto.ria.com/uk/newauto/auto-fiat-500-1885383.html;;Харків
Hyundai i10 2021  Style 1.2 MPi АMT (84 к.с.);https://auto.ria.com/uk/newauto/auto-hyundai-i10-1871183.html;;Харків
Opel Astra J 2019  Enjoy Plus 1.4Т АТ (140 к.с.);https://auto.ria.com/uk/newauto/auto-opel-astra-j-1884864.html;;Кропивницький (Кіровоград)
Skoda Fabia 2022  Ambition 1.0 TSI MT (95 к.с.);https://auto.ria.com/uk/newauto/auto-skoda-fabia-1885082.html;;Кропивницький (Кіровоград)
Renault Express Van 2022  Zen 1.5D МТ (95 к.с.);https://auto.ria.com/uk/newauto/auto-renault-express-van-1885041.html;;Хмельницький
Renault Sandero StepWay 2022  Zen 1.5DСi 5МТ (90 к.с.);https://auto.ria.com/uk/newauto/auto-renault-sandero-stepway-1883462.html;;Черкаси
Renault Express Van 2022  Zen 1.5D МТ (95 к.с.);https://auto.ria.com/uk/newauto/auto-renault-express-van-1883630.html;;Київ
Peugeot 301 2022  Active 1.6 AT (115 к.с.);https://auto.ria.com/uk/newauto/auto-peugeot-301-1828424.html;;Одеса
Renault Sandero StepWay 2022  Zen 1.5DСi 5МТ (90 к.с.);https://auto.ria.com/uk/newauto/auto-renault-sandero-stepway-1884534.html;;Хмельницький
JAC JS3 2022  Intelligent 1.6VVT CVT (119 к.с.);https://auto.ria.com/uk/newauto/auto-jac-js3-1887012.html;;Черкаси
